name,boy,girl
Mary,0.022255000000000004,4.51186
Elizabeth,0.004318000000000001,1.3921000000000001
Margaret,0.005514999999999999,1.3609650000000004
Helen,0.005110000000000001,1.2342219999999997
Anna,0.004762,1.1958669999999996
Dorothy,0.004038999999999999,1.0651110000000004
Barbara,0.0023900000000000006,1.001579
Patricia,0.0024899999999999996,0.9997980000000002
Ruth,0.0038699999999999997,0.9422720000000002
Linda,0.0017099999999999997,0.8373639999999998
Jennifer,0.0021420000000000007,0.8203910000000002
Betty,0.002414,0.8174889999999999
Sarah,0.001227,0.817214
Alice,0.002508,0.712123
Nancy,0.0009029999999999999,0.7046940000000003
Susan,0.0009000000000000001,0.6698299999999997
Frances,0.007190999999999999,0.6639409999999998
Laura,0.000611,0.6560100000000002
Marie,0.002013,0.6551809999999996
Emma,0.002475,0.6485179999999999
Martha,0.001221,0.6176829999999995
Catherine,0.00032900000000000003,0.603445
Florence,0.0038099999999999996,0.5980009999999997
Rose,0.0025119999999999995,0.5759520000000001
Virginia,0.0007530000000000002,0.5734690000000003
Grace,0.0018639999999999996,0.551647
Jessica,0.00134,0.5516409999999999
Mildred,0.0018899999999999998,0.5496529999999996
Karen,0.0006959999999999999,0.542034
Lillian,0.002286,0.5396589999999998
Annie,0.0029430000000000003,0.5362400000000005
Carol,0.006897,0.5294250000000001
Ethel,0.0033020000000000002,0.529391
Lisa,0.001001,0.525698
Shirley,0.011590000000000001,0.5162689999999995
Sandra,0.0007180000000000001,0.5126020000000001
Donna,0.00047100000000000006,0.49976399999999993
Katherine,0.00012099999999999999,0.48197299999999993
Edna,0.001909,0.47616100000000006
Clara,0.0021430000000000004,0.4715459999999996
Amanda,0.0007080000000000001,0.46729100000000007
Evelyn,0.0004930000000000001,0.4630329999999999
Emily,0.0,0.4601320000000001
Rebecca,4.3e-05,0.45734199999999997
Louise,0.002583,0.44719000000000003
Kimberly,0.0015499999999999995,0.444646
Kathleen,3.1e-05,0.44268599999999986
Michelle,0.000997,0.43968799999999997
Bertha,0.0022600000000000003,0.4395819999999998
Julia,0.0007340000000000001,0.43088000000000004
Melissa,0.0009239999999999999,0.41954900000000006
Sharon,0.00075,0.41904199999999997
Amy,0.00038700000000000003,0.41847700000000004
Ashley,0.009702000000000002,0.417707
Irene,0.0009329999999999999,0.4137299999999997
Minnie,0.002169000000000001,0.4112919999999998
Edith,0.0012150000000000002,0.400651
Stephanie,0.00047899999999999993,0.398594
Doris,0.00285,0.398338
Ida,0.0014650000000000002,0.39493899999999976
Deborah,0.000418,0.3898449999999999
Cynthia,0.00025100000000000003,0.3886250000000002
Bessie,0.0016250000000000001,0.386658
Angela,0.000371,0.3788970000000001
Ann,5.8e-05,0.3785900000000002
Josephine,0.0007059999999999999,0.37379599999999996
Carolyn,0.00030799999999999995,0.3721499999999999
